,Et,Pt,lt,Wt
1-1,2.6171814395778337,1.6657338694054682,1.339362988736555,10.468586297303098
2-1,2.398351581854441,1.6254322126226191,2.9747937621769953,9.3840562371568961
3-1,2.4771307650653407,1.807641291136767,2.5156674038813902,9.4809609368563077
4-1,2.9948206820731467,2.2839211452837604,2.198797120169623,14.983924791731065
5-1,2.8533990562078189,2.2502034914179316,2.5511785950574737,12.002555587116525
6-1,2.9817769541099155,2.350922921180854,3.7069396900695053,13.565119737044144
7-1,2.5920183514620225,0.16163505065735789,4.0674484605423311,9.6351337306560527
8-1,2.3089322036158366,0.15743706064180407,3.2319636558016267,8.4807926014135369
9-1,2.2512576397336734,0.17927922043496211,3.3435656478079716,8.0920816262398727
10-1,2.2985422656795933,0.63085769156025617,3.1356437960358945,8.2818404824299972
11-1,2.1818185171880073,0.30488777542384599,3.5266146984431721,7.6437110472294965
12-1,2.0041834796715539,0.22916248943327389,3.1709716627865974,6.9527082409341743
13-1,2.0794068473674434,0.83264390407181399,2.5771436741934175,7.5860258942619057
14-1,2.1986978969733206,1.1168257129582888,2.6642999714108635,7.9481030213763741
15-1,2.0663583146336695,0.88426965701917726,2.9827101836986847,7.3178269140331889
16-1,2.0921620293742831,1.3135888997276504,2.2458764809502521,7.902612303331999
17-1,2.0941293313489551,1.2566826175751007,2.6103723739338425,7.8151572809386813
18-1,1.8632959193017555,0.86307856059698562,2.7104370608667319,6.6138473513181912
19-1,1.7639764957837039,0.84391082826704855,2.1584882836319199,6.3741476792720855
20-1,1.8051445258161332,0.92676474545097987,2.0646790579222687,6.5489600943637738
21-1,1.8126583075747236,0.91923379098086999,2.3065672698418136,6.4573949456569348
22-1,1.8866924142987458,1.0870198251111405,2.1156027313356165,6.7744361146473668
23-1,2.049254615818088,1.1100190471760565,2.3095085376032793,6.7330396455034727
24-1,2.0622438846365605,1.224272022482463,2.5176038967498675,6.6325051367990024
25-1,2.0506069281688868,1.4606161785754543,1.919149431059938,6.9967272799173115
26-1,2.2871209294452548,1.3209248775071463,2.1365267502041227,6.8718167466952034
27-1,2.3533869008463233,1.3866051820652632,2.0555824887185059,6.792220985568906
28-1,2.3380786332257699,1.4409076838035457,1.805179670445932,6.8525199608922831
29-1,2.3839022479436496,1.3949218358068221,1.6699552062832992,6.977422881741175
30-1,2.4946748183483227,1.3042129113145802,1.565986678492866,7.0775554213481806
31-1,3.0394635835990731,4.4004008672782637,1.6229440675810995,2.3559016575295333
32-1,3.3406134383119999,4.7254569068516359,1.6847821586507119,2.2858137714659654
33-1,3.4961975148524651,4.6556091022091914,1.4126714205020028,2.065722880722753
34-1,3.6384993660581673,4.6924370901397312,1.3398114644861654,1.9925079278337692
35-1,3.6714012553528432,4.9664948577452783,1.4251448765303001,2.1710847043283206
36-1,3.7263844397188084,5.0873419547007162,1.3329911924780973,2.0702509884974001
37-1,3.8029773750257396,5.1099297981158367,1.3965271901269023,2.2773908411657753
38-1,3.9534176021016192,5.5626590360011505,1.3298401367837833,1.9329232845286906
39-1,4.1860244874222063,5.8126350912122549,1.3716076131564778,1.8574629404500045
40-1,4.269991607746257,6.0752384094785068,1.4585616159500192,2.0291266609842618
41-1,4.2082050717272663,6.5889620605931265,1.6769612921459243,2.636024825001634
42-1,4.1424372840975945,6.2683832740815504,1.5825754188388901,2.922996703827466
43-1,4.2520208468173264,6.6508694592933768,1.6319750348395934,2.9148564280158
44-1,4.4312185005155431,7.2407260196440131,1.7692755583697592,2.8744470496622618
45-1,4.5527279779768417,7.3502158290845134,1.840599911318866,2.9618057481973037
46-1,4.4481578693568213,7.0955570381926165,2.1569567583969311,3.9919517759563985
47-1,4.2057997394314102,6.1177352365448829,1.6208998667755061,4.167480826866429
48-1,4.2309355662956412,3.9916277231404504,1.2932986575051948,4.1992405318123369
49-1,4.2581083355251756,4.5941740622463625,1.3836569171031323,4.3178593342880092
50-1,4.2650880496695205,1.0692323823248269,0.51267745033855772,3.2671209836229673
51-1,3.9524895963495488,0.78125377071551716,0.40323019742626232,3.1542203968891029
