,Et,Pt,lt,Wt
1-1,1.7132787703624357,47.22151005615089,34.441743000377883,62.737934050460197
2-1,0.20336010195093102,10.786572977154988,5.6452258798083541,12.733473721254022
3-1,0.18638898254140093,3.2342602035668748,0.29306851850213272,7.5320742918132515
4-1,0.15333679130269029,0.33541119782161827,0.033400852943823112,5.3319894405902444
5-1,0.22245973258407359,0.31718984346955004,0.0057212020570506176,3.5139785510165202
6-1,0.16602030614536464,0.13576796992891976,0.0068697371549965597,1.882969821431453
7-1,0.34187886019528413,0.00046555263284062332,0.012982718208886343,1.4553324438535502
8-1,0.28870339490324121,0.00017309483895996196,0.0084365026329231551,0.93793397225379571
9-1,0.24407443326180067,0.00013990396778328955,0.007146877029704392,0.66281592599721839
10-1,0.24984364801051068,0.0019552646593263075,0.006281557345297408,0.70771827115280728
11-1,0.21408843306165981,0.00015152305284921904,0.0065692945283107465,0.42693311377754184
12-1,0.19106763261185877,3.0412092511191534e-005,0.0065683938789135891,0.28808023209847955
13-1,0.21412202237361874,0.0004044509014539745,0.0062706762278179947,0.33440075950010739
14-1,0.20460908093958882,0.00047912048716376531,0.0056940119330385775,0.27302695520776388
15-1,0.19582270353253878,0.00026080627800076437,0.0060622617037359664,0.21021061422637299
16-1,0.19883858955952755,0.00050890152327342467,0.0059766122431896412,0.18194934666266674
17-1,0.1822733460324048,0.0005047083419823207,0.0059523592560298787,0.14071673116372077
18-1,0.21099828920602542,0.00021190057362012563,0.0063146460264302809,0.12651305368661878
19-1,0.094901462980686704,0.0016922312330744549,0.03761559132755244,0.13292654149805697
20-1,0.19230017577660621,0.00031468188680312489,0.0062508502179585545,0.083116448015053523
21-1,0.18238617453090702,0.00034599984561217533,0.0061381656885181428,0.067155397088257102
22-1,0.20723222044618728,0.00051921555417225524,0.0057534678971041097,0.06389435237190022
23-1,0.23013104347453825,0.00060343551923201484,0.004886787650044448,0.057590083783776121
24-1,0.21876259743126775,0.0006070828782769065,0.0047992011048641489,0.046917355380718694
25-1,0.25229955689688466,0.00076291682209852227,0.004548917073929108,0.044295835684314333
26-1,0.26291568445864427,0.00073644882122625953,0.0038152872095356359,0.03701557663755612
27-1,0.25614678348584186,0.00071580581529310334,0.003459478337741836,0.030184863707098324
28-1,0.24922749238657016,0.00071583892716677987,0.0032464446839548275,0.02499325489027051
29-1,0.24381536744693386,0.00072132823166007397,0.0030566408624737502,0.020919987980833377
30-1,0.2479058121595516,0.00072699901498840362,0.0027638860145375232,0.017870394858559679
31-1,0.080939725310282901,0.029398644270094219,0.01168231560229435,0.013692615508597669
32-1,0.099292105732900676,0.026510495310630221,0.010255962076083034,0.011119803761215307
33-1,0.084556191408733786,0.024147638006356085,0.0068732562050500294,0.0084386595811433446
34-1,0.074968904586836985,0.021881596741524626,0.0055063624979827504,0.0069177380690532385
35-1,0.075518425215547677,0.02114653940208042,0.005936012226442842,0.0070876152469166393
36-1,0.06260335742570676,0.021033359136513323,0.0048470063427870549,0.005854504041503306
37-1,0.064072608017811533,0.018529078187206043,0.0050077816455309874,0.0061419765188353613
38-1,0.044730661412102378,0.023850328354286236,0.0036540796465361672,0.0044622695642499433
39-1,0.045079762098323456,0.023206454859541675,0.0033959032155795985,0.0036906017970960523
40-1,0.042067366229998897,0.022874425048854931,0.003410876719078595,0.0039212740472719899
41-1,0.068588845594481002,0.021938547004390276,0.0059414081073168061,0.0056776048932431645
42-1,0.082705634106987086,0.016374442507457662,0.0061147204028163503,0.0058264940620414698
43-1,0.075577736466334144,0.017636085227137364,0.0059722396115813453,0.0053870816068155372
44-1,0.073467129433646416,0.019468023113231137,0.0060401163546554126,0.0048281128880795169
45-1,0.068991981702879693,0.018565638885496727,0.0057131885900374782,0.0046405257233839477
46-1,0.13559175575909954,0.012955935556618597,0.0087854902581227801,0.0060747427721719836
47-1,0.1448985964309068,0.0084415640850567832,0.0068118397196591353,0.0052327329276917259
48-1,0.1346934575506171,0.0051854456078072849,0.004756735804146088,0.0051426053896757133
49-1,0.13116843994911512,0.0061964667243211988,0.0053987012018581835,0.0051456731255074125
50-1,0.094198909793171956,0.0012305234622130923,0.0010028130014490095,0.0041473374149082398
51-1,0.11273162792708875,0.00084360959171697462,0.00087978138636410591,0.0035887176302985733
