,vt
1-1,1.0903040623356763
2-1,0.15784596890089775
3-1,0.65196998563529851
4-1,-0.82500951334979966
5-1,0.67945131298498262
6-1,-0.8871103122173678
7-1,-1.3154372080633223
8-1,0.49453102526421588
9-1,0.2540762884917509
10-1,0.31600605360641687
11-1,-0.56181207728410776
12-1,-0.4148947353948047
13-1,0.45343574048609847
14-1,0.088189804952861106
15-1,-0.77760100566669887
16-1,0.28839073731664788
17-1,-0.35758769237674759
18-1,-1.2469347053858351
19-1,-0.11682987964820857
20-1,0.053735083461201594
21-1,-0.26426484207958301
22-1,0.43417175638999828
23-1,0.3238585570811483
24-1,-0.58741962181409235
25-1,0.5088570555950187
26-1,0.20615876022539537
27-1,-0.18806314410441516
28-1,-0.18016131251109568
29-1,-0.07179707442302341
30-1,0.25997289905043708
31-1,0.90194923680633687
32-1,0.28726667867738565
33-1,0.38756651997263081
34-1,0.18661689146827065
35-1,-0.12015659660785838
36-1,0.31405764898554933
37-1,-0.081228619081720854
38-1,0.8987452843783359
39-1,0.51018622252491674
40-1,-0.064852926887627227
41-1,-0.38515506416446144
42-1,0.0073979863070228191
43-1,0.47348582066044731
44-1,0.58333809750234877
45-1,0.19677138173333208
46-1,-1.0743946801496871
47-1,0.026857186585345083
48-1,-0.38886295901470369
49-1,0.48673974153052502
50-1,-0.84702106828198698
51-1,-0.5078071027476545
